fid,iid,rep,BFGS,DE,MLSL,Non-elitist,PSO,Same
2,3,6,16.7677939833,16.7677939833,16.7677939833,16.7677939833,16.7677939833,16.7677939833
2,3,7,137.8246418248,137.8246418248,137.8246418248,137.8246418248,137.8246418248,137.8246418248
2,3,8,174.898894582,174.898894582,174.898894582,174.898894582,174.898894582,174.898894582
2,3,9,64.83369136,64.83369136,64.83369136,64.83369136,64.83369136,64.83369136
2,3,10,493.7410784578,493.7410784578,493.7410784578,493.7410784578,493.7410784578,493.7410784578
2,3,11,8.6232975114,8.6232975114,8.6232975114,8.6232975114,8.6232975114,8.6232975114
2,3,12,2.02004456,2.02004456,2.02004456,2.02004456,2.02004456,2.02004456
2,3,13,12.8970574821,12.8970574821,12.8970574821,12.8970574821,12.8970574821,12.8970574821
2,3,14,10.2060656017,10.2060656017,10.2060656017,10.2060656017,10.2060656017,10.2060656017
2,3,15,28.5786329524,28.5786329524,28.5786329524,28.5786329524,28.5786329524,28.5786329524
2,3,16,29.7017511627,29.7017511627,29.7017511627,29.7017511627,29.7017511627,29.7017511627
2,3,17,67.6521776787,67.6521776787,67.6521776787,67.6521776787,67.6521776787,67.6521776787
2,3,18,6.659491244,6.659491244,6.659491244,6.659491244,6.659491244,6.659491244
2,3,19,86.6621286906,86.6621286906,86.6621286906,86.6621286906,86.6621286906,86.6621286906
2,4,0,58.0023571503,58.0023571503,58.0023571503,58.0023571503,58.0023571503,58.0023571503
2,4,1,0.3602406167,0.3602406167,0.3602406167,0.3602406167,0.3602406167,0.3602406167
2,4,2,108.1881272042,108.1881272042,108.1881272042,108.1881272042,108.1881272042,108.1881272042
2,4,3,41.027615776,41.027615776,41.027615776,41.027615776,41.027615776,41.027615776
2,4,4,76.3124408693,76.3124408693,76.3124408693,76.3124408693,76.3124408693,76.3124408693
2,4,5,24.7124792795,24.7124792795,24.7124792795,24.7124792795,24.7124792795,24.7124792795
2,4,6,425.3589359319,425.3589359319,425.3589359319,425.3589359319,425.3589359319,425.3589359319
2,4,7,203.165528195,203.165528195,203.165528195,203.165528195,203.165528195,203.165528195
2,4,8,80.4694011799,80.4694011799,80.4694011799,80.4694011799,80.4694011799,80.4694011799
2,4,9,6.8790499069,6.8790499069,6.8790499069,6.8790499069,6.8790499069,6.8790499069
