fid,iid,rep,static_B8,static_B16,static_B24,static_B32,static_B40,static_B48,static_B56,static_B64,static_B72,static_B80,static_B88,static_B96,static_B100,static_B150,static_B200,static_B250,static_B300,static_B350,static_B400,static_B450,static_B500,static_B550,static_B600,static_B650,static_B700,static_B750,static_B800,static_B850,static_B900,static_B950,static_B1000
22,5,14,35.0684311162,14.584841529,0.6918569258,0.6918569312,0.0,14.5848415293,0.6918569209,0.6918569258,3e-10,3e-10,3e-10,3e-10,3e-10,3e-10,3e-10,3e-10,3e-10,3.1628923499,3e-10,0.015378882,3e-10,3e-10,0.6948156408,8e-10,1.63e-08,3.7118e-06,6.809e-06,0.0002474768,0.0021001078,2.4301023568,35.0684311162
22,5,15,0.6918569112,0.4061308946,0.6918569536,0.6918569112,0.6918569112,0.6918569112,0.6918569836,0.6918569259,0.6918569113,0.6918569112,0.6918569112,0.6918569112,0.6918569217,0.6918569415,0.6918569669,0.6918569668,0.0564260006,0.6918569112,0.6918569149,0.6918569392,0.6918569201,0.6918569276,0.0443089523,0.6918569113,0.6918569122,0.6918569112,0.6918569113,0.6918569112,0.6918569112,0.6918569112,0.6918569112
22,5,16,0.6918569112,0.4223539529,1e-09,0.0148243386,1e-09,0.0002306629,0.0148243386,0.0148243386,1e-09,1e-09,0.0148243386,0.0,0.0148243386,1e-09,0.0148243386,0.0148243386,1e-09,0.691857077,0.0153386694,0.0305816248,1e-09,0.0450891969,1e-09,0.0094175703,6.3e-09,1.0611e-06,3.44004e-05,0.0042856572,0.0210286781,0.1105337127,6.11990251
22,5,17,0.6918569283,0.2021970847,1e-10,0.0,2.1035558172,2.1035558172,1e-10,0.0,0.0,0.0,0.0,3e-10,0.0,0.0,0.0,3e-09,0.0,1.1e-09,0.0,0.0,0.0,3e-10,1.5e-09,1.4e-09,1.2e-09,2.6e-09,0.0,0.0,1e-10,0.0,0.0
22,5,18,11.1256184504,0.729757895,0.6918569126,0.0,10.1145320578,2.047e-07,2.009e-07,2.06e-07,2.06e-07,2.09e-07,7.0578e-06,7.058e-06,0.0,0.0149396876,0.0,0.0,0.0002152372,8.42747e-05,0.0,0.0,0.0001412635,5.57433e-05,9.86549e-05,1.2e-08,1.6e-09,1.1e-09,0.0,0.0,0.0,0.0,0.0
22,5,19,0.6918569114,14.5848415613,0.6918569537,14.584841529,0.6918569637,7.2716291937,7.2716291947,0.6918569139,0.1036454079,0.6918569561,14.5848415296,14.5848415292,14.5848415291,0.1850030761,0.6918569464,14.5848417914,0.6918569458,14.584841529,14.584841529,14.584841529,14.584841529,14.5848416892,14.584841529,14.584841529,14.584841529,14.584841529,14.584841529,14.584841529,14.584841529,14.5848415613,14.5848415613
23,1,0,0.1609711584,2.0865323038,1.2255162517,1.2255162517,0.3740430801,1.423968182,0.4034134543,0.8297406108,2.0865323038,0.7792039201,1.2842836563,1.6769009978,0.7751639899,0.8506032182,1.1978270835,1.1195172458,1.2255162517,1.0641893819,1.0641981275,1.0657090638,1.1151675846,1.1186879842,1.1213827971,1.1217100972,1.1655821543,1.2823434433,1.2869025236,1.5686590792,1.5720154927,1.7952039621,2.0865323038
23,1,1,1.092704498,0.0125945619,1.7959083293,1.562365777,2.056642198,0.9208286291,1.1583451525,1.1583451525,1.0674146473,1.0049218294,0.5136563641,0.0072621488,0.1651142987,0.5984788635,0.6923676513,1.7142840937,1.456637766,1.8617578583,2.5397452472,1.7142840937,1.2495118894,2.2498664227,1.7142840937,1.8618483646,1.8618511,1.8621354195,1.8633563955,1.8739811537,1.9970879143,2.5397448976,2.5397452472
23,1,2,1.8234840261,0.8583874909,0.5656203167,3.0742537784,2.6919234736,1.6303135964,1.8193634252,0.1684598433,1.7876279371,1.7420638926,0.9667748275,2.1285440322,1.132269446,0.20420521,1.1098560009,1.1552886639,1.119575849,1.7976296199,1.7976296199,1.7976296199,1.7976356594,1.7978625682,1.7987980674,1.7997220716,1.7997262213,1.7998670874,1.8158273782,1.8557971095,2.4703340901,2.9290615344,2.9290645477
23,1,3,1.4239567877,1.5361233293,1.4753483982,0.5302919802,0.3868810273,0.9241420386,1.1014448833,1.1358031467,2.1319867386,1.2622473333,2.9548112031,2.3638851004,1.429426199,0.6756790406,1.908018586,1.0393222039,2.9548112031,1.7338782842,1.7338782842,1.7338782842,1.7338782842,1.7338782842,1.7338782842,1.7338782842,1.7338782842,1.7338782842,1.7338802895,2.71160503,2.73772094,2.9548040422,2.9548112031
